fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana		min_data_in_leaf	num_leaves		min_data_in_leaf	num_leaves
20221112 034108	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	172	1	1	1	0.1	50	0.5	FALSE	936659	0.255522696	0.352660692	0.923425169	3.865194628	0.017633346	15132	16696000	15						
20221112 114957	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	0.1	50	0.5	FALSE	936659	0.248013991	0.677664427	0.938928833	5.516735205	0.01622525	14861	16678000	38						
20221112 215017	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1044	1	1	1	0.1	50	0.5	FALSE	936659	0.188836032	0.850688789	0.627009663	2.743826939	0.022286747	14106	16668000	66						
20221113 000919	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	0.1	50	0.5	FALSE	936659	0.162025226	0.554319636	0.325623738	6.723548228	0.01508711	14957	16646000	76						
20221112 055410	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	544	1	1	1	0.1	50	0.5	FALSE	936659	0.011777211	0.693390699	0.997661871	10.99039872	0.009592181	14810	16620000	21						
20221112 041355	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3369	1	1	1	0.1	50	0.5	FALSE	936659	0.005166786	0.896714664	0.061344269	8.92027977	0.016527417	15292	16536000	17						
20221112 214419	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4586	1	1	1	0.1	50	0.5	FALSE	936659	0.006104335	0.67127883	0.050006906	8.955725193	0.015918847	15498	16524000	65						
20221113 043117	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1224	1	1	1	0.1	50	0.5	FALSE	936659	0.030748204	0.659699592	0.084415535	9.473310365	0.011256477	15159	16482000	88						
20221112 184504	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7106	1	1	1	0.1	50	0.5	FALSE	936659	0.011099296	0.42866938	0.141957781	5.313781924	0.01787155	14875	16250000	56						
20221112 124332	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1045	1	1	1	0.1	50	0.5	FALSE	936659	0.071459979	0.787046257	0.660140695	9.07002423	1.50E-05	14529	16222000	42						
20221113 082116	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	426	1	1	1	0.1	50	0.5	FALSE	936659	0.091856506	0.899862566	0.390588366	6.791395752	0.013077768	16019	16202000	94						
20221112 230659	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	0.1	50	0.5	FALSE	936659	0.277342825	0.834137029	0.845462603	5.226343801	0.015123219	15981	16118000	70						
20221112 033542	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	985	1	1	1	0.1	50	0.5	FALSE	936659	0.299403453	0.866610643	0.495746547	2.651636423	0.020932403	14782	16116000	14						
20221112 205818	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	636	1	1	1	0.1	50	0.5	FALSE	936659	0.058181407	0.648168925	0.070644647	8.327108018	0.014865806	15945	16030000	62						
20221112 021735	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	0.1	50	0.5	FALSE	936659	0.114616945	0.43544926	0.980876507	8.350125002	0.012323498	14897	15966000	6						
20221112 012905	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1006	1	1	1	0.1	50	0.5	FALSE	936659	0.141088757	0.542852762	0.608477562	3.670835808	0.015719657	16193	15934000	1						
20221113 121251	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	0.1	50	0.5	FALSE	936659	0.233898495	0.341615344	0.591723477	8.518472019	0.02022911	14044	15832000	114						
20221112 020757	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2017	1	1	1	0.1	50	0.5	FALSE	936659	0.045593869	0.382715105	0.137245521	4.983626734	0.018406054	14943	15794000	4						
20221112 030520	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	936659	0.161305041	0.31948307	0.69556405	10.55454591	0.004171626	15122	15516000	11						
20221112 230401	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	0.1	50	0.5	FALSE	936659	0.128790939	0.533174115	0.447025293	10.95393915	3.65E-06	15711	15218000	69						
20221112 022054	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	0.1	50	0.5	FALSE	936659	0.263338754	0.844610453	0.73201257	7.437314486	0.01382128	14448	15104000	7						
20221112 090101	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	324	1	1	1	0.1	50	0.5	FALSE	936659	0.243931527	0.714073008	0.68031418	9.332490728	2.88E-06	14770	15100000	29						
20221112 092108	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	335	1	1	1	0.1	50	0.5	FALSE	936659	0.299123267	0.543125306	0.246224266	5.548309313	0.013201934	16325	14950000	32						
20221113 123108	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2080	1	1	1	0.1	50	0.5	FALSE	936659	0.018757055	0.842328432	0.983103124	4.971041528	0.01402684	17607	14946000	115						
